,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
0,NCS1-x0071_0B,NCS1-x0071,COc1ccccc1c2nnco2,,Z1198177230,Trp103 Site4,
1,NCS1-x0086_0A,NCS1-x0086,COc1cccc2[nH]ccc12,,Z1203730757,Trp103 Site4,
2,NCS1-x0086_0B,NCS1-x0086,COc1cccc2[nH]ccc12,,Z1203730757,Trp103 Site4,
3,NCS1-x0110_0A,NCS1-x0110,CC(=O)Nc1cccc2cc[nH]c12,,Z1255459547,Trp103 Site4,
4,NCS1-x0110_0B,NCS1-x0110,CC(=O)Nc1cccc2cc[nH]c12,,Z1255459547,Helix H2 Site1,
5,NCS1-x0110_1B,NCS1-x0110,CC(=O)Nc1cccc2cc[nH]c12,,Z1255459547,Trp103 Site4,
6,NCS1-x0110_2B,NCS1-x0110,CC(=O)Nc1cccc2cc[nH]c12,,Z1255459547,Helix H2 Site1,
7,NCS1-x0110_3B,NCS1-x0110,CC(=O)Nc1cccc2cc[nH]c12,,Z1255459547,Upper Tyr52-Thr92 Site2,
8,NCS1-x0115_0A,NCS1-x0115,OC(=O)C1(CC1)Nc2ccccc2,,Z1262549981,Arg148 closed Site7,
9,NCS1-x0115_0B,NCS1-x0115,OC(=O)C1(CC1)Nc2ccccc2,,Z1262549981,Arg148 closed Site7,
10,NCS1-x0117_0B,NCS1-x0117,Nc1cccnc1n2cccc2,,Z1262628644,Trp103 Site4,
11,NCS1-x0119_0B,NCS1-x0119,CN(C)C(=O)c1cc2cccc(F)c2o1,,Z1265813904,Trp103 Site4,
12,NCS1-x0119_1B,NCS1-x0119,CN(C)C(=O)c1cc2cccc(F)c2o1,,Z1265813904,Upper Tyr52-Thr92 Site2,
13,NCS1-x0119_2B,NCS1-x0119,CN(C)C(=O)c1cc2cccc(F)c2o1,,Z1265813904,Middle Tyr52-Thr92 Site3,
14,NCS1-x0125_0A,NCS1-x0125,CS(=O)(=O)c1cccc2cccnc12,,Z1269220427,Trp103 Site4,
15,NCS1-x0125_0B,NCS1-x0125,CS(=O)(=O)c1cccc2cccnc12,,Z1269220427,Trp103 Site4,
16,NCS1-x0128_0A,NCS1-x0128,COCC1CN(CCO1)c2ccccn2,,Z1272480091,Tyr108 Site6,
17,NCS1-x0128_0B,NCS1-x0128,COCC1CN(CCO1)c2ccccn2,,Z1272480091,Tyr108 Site6,
18,NCS1-x0132_0A,NCS1-x0132,CCOc1c(F)cccc1C(=O)N(C)C,,Z1273312142,Upper Tyr52-Thr92 Site2,
19,NCS1-x0132_0B,NCS1-x0132,CCOc1c(F)cccc1C(=O)N(C)C,,Z1273312142,Upper Tyr52-Thr92 Site2,
20,NCS1-x0132_1A,NCS1-x0132,CCOc1c(F)cccc1C(=O)N(C)C,,Z1273312142,Tyr52 Site5,
21,NCS1-x0132_2A,NCS1-x0132,CCOc1c(F)cccc1C(=O)N(C)C,,Z1273312142,Tyr108 Site6,
22,NCS1-x0145_0A,NCS1-x0145,CCC(CC)C(=O)Nc1ccccc1O,,Z1331830630,Arg148 open Site8,
23,NCS1-x0145_0B,NCS1-x0145,CCC(CC)C(=O)Nc1ccccc1O,,Z1331830630,Trp103 Site4,
24,NCS1-x0145_1A,NCS1-x0145,CCC(CC)C(=O)Nc1ccccc1O,,Z1331830630,Trp103 Site4,
25,NCS1-x0145_1B,NCS1-x0145,CCC(CC)C(=O)Nc1ccccc1O,,Z1331830630,Tyr52 Site5,
26,NCS1-x0145_2B,NCS1-x0145,CCC(CC)C(=O)Nc1ccccc1O,,Z1331830630,Arg148 open Site8,
27,NCS1-x0149_0A,NCS1-x0149,CS(=O)(=O)NC1CCOc2ccccc12,,Z133716556,Trp103 Site4,
28,NCS1-x0149_0B,NCS1-x0149,CS(=O)(=O)NC1CCOc2ccccc12,,Z133716556,Trp103 Site4,
29,NCS1-x0149_1A,NCS1-x0149,CS(=O)(=O)NC1CCOc2ccccc12,,Z133716556,Tyr52 Site5,
30,NCS1-x0149_1B,NCS1-x0149,CS(=O)(=O)NC1CCOc2ccccc12,,Z133716556,Upper Tyr52-Thr92 Site2,
31,NCS1-x0149_2B,NCS1-x0149,CS(=O)(=O)NC1CCOc2ccccc12,,Z133716556,Helix H2 Site1,
32,NCS1-x0178_0B,NCS1-x0178,Cc1nc(C(=O)N2CCCC2)c(C)s1,,Z1497321453,Tyr52 Site5,
33,NCS1-x0181_0A,NCS1-x0181,CNC(=O)C1CCCc2sc(C)nc12,,Z1509257513,Arg148 closed Site7,
34,NCS1-x0181_0B,NCS1-x0181,CNC(=O)C1CCCc2sc(C)nc12,,Z1509257513,Trp103 Site4,
35,NCS1-x0181_1A,NCS1-x0181,CNC(=O)C1CCCc2sc(C)nc12,,Z1509257513,Trp103 Site4,
36,NCS1-x0181_1B,NCS1-x0181,CNC(=O)C1CCCc2sc(C)nc12,,Z1509257513,Arg148 closed Site7,
37,NCS1-x0196_0B,NCS1-x0196,Fc1cccnc1NC2CCCOCC2,,Z1601639621,Arg148 open Site8,
38,NCS1-x0208_0B,NCS1-x0208,FC1=CCCN(C1)C(=O)N2CCOCC2,,Z1689442171,Tyr52 Site5,
39,NCS1-x0222_0A,NCS1-x0222,CNC(=O)C1(Cc2ccccc2F)CC1,,Z1796014543,Tyr52 Site5,
40,NCS1-x0222_0B,NCS1-x0222,CNC(=O)C1(Cc2ccccc2F)CC1,,Z1796014543,Trp103 Site4,
41,NCS1-x0238_0A,NCS1-x0238,CC1(C)CN(CC1O)c2ncccc2F,,Z1929757385,Tyr108 Site6,
42,NCS1-x0238_0B,NCS1-x0238,CC1(C)CN(CC1O)c2ncccc2F,,Z1929757385,Trp103 Site4,
43,NCS1-x0238_1A,NCS1-x0238,CC1(C)CN(CC1O)c2ncccc2F,,Z1929757385,Tyr52 Site5,
44,NCS1-x0252_0B,NCS1-x0252,CC(=O)Nc1cccc(NC(=O)N)c1,,Z198195770,Trp103 Site4,
45,NCS1-x0252_1B,NCS1-x0252,CC(=O)Nc1cccc(NC(=O)N)c1,,Z198195770,Tyr52 Site5,
46,NCS1-x0252_2B,NCS1-x0252,CC(=O)Nc1cccc(NC(=O)N)c1,,Z198195770,Upper Tyr52-Thr92 Site2,
47,NCS1-x0267_0A,NCS1-x0267,Cc1csc(CNC(=O)C2CCC2)n1,,Z212122838,Arg148 closed Site7,
48,NCS1-x0267_0B,NCS1-x0267,Cc1csc(CNC(=O)C2CCC2)n1,,Z212122838,Arg148 closed Site7,
49,NCS1-x0275_0A,NCS1-x0275,CC(NC(=O)C1CC1)c2cccnc2,,Z220996120,Arg148 closed Site7,
50,NCS1-x0275_0B,NCS1-x0275,CC(NC(=O)C1CC1)c2cccnc2,,Z220996120,Arg148 closed Site7,
51,NCS1-x0288_0A,NCS1-x0288,OCc1ccccc1N2CCOCC2,,Z235361235,Trp103 Site4,
52,NCS1-x0288_0B,NCS1-x0288,OCc1ccccc1N2CCOCC2,,Z235361235,Trp103 Site4,
53,NCS1-x0288_1B,NCS1-x0288,OCc1ccccc1N2CCOCC2,,Z235361235,Arg148 open Site8,
54,NCS1-x0292_0A,NCS1-x0292,Nc1cccc(OCc2ccccc2)c1,,Z239127534,Middle Tyr52-Thr92 Site3,
55,NCS1-x0292_0B,NCS1-x0292,Nc1cccc(OCc2ccccc2)c1,,Z239127534,Helix H2 Site1,
56,NCS1-x0292_1A,NCS1-x0292,Nc1cccc(OCc2ccccc2)c1,,Z239127534,Trp103 Site4,
57,NCS1-x0292_1B,NCS1-x0292,Nc1cccc(OCc2ccccc2)c1,,Z239127534,Trp103 Site4,
58,NCS1-x0292_2B,NCS1-x0292,Nc1cccc(OCc2ccccc2)c1,,Z239127534,Middle Tyr52-Thr92 Site3,
59,NCS1-x0311_0A,NCS1-x0311,Fc1ccc(Cn2cnc3ccccc23)cc1,,Z26333448,Tyr108 Site6,
60,NCS1-x0311_0B,NCS1-x0311,Fc1ccc(Cn2cnc3ccccc23)cc1,,Z26333448,Tyr108 Site6,
61,NCS1-x0311_1A,NCS1-x0311,Fc1ccc(Cn2cnc3ccccc23)cc1,,Z26333448,Upper Tyr52-Thr92 Site2,
62,NCS1-x0342_0B,NCS1-x0342,CC(=O)NC1CNc2ccccc2C1,,Z285141302,Trp103 Site4,
63,NCS1-x0344_0B,NCS1-x0344,O=C(NC1CC1)c2cnn3cccnc23,,Z285642082,Helix H2 Site1,
64,NCS1-x0355_0A,NCS1-x0355,Cc1cc(no1)C(=O)NCc2cccs2,,Z29692148,Helix H2 Site1,
65,NCS1-x0356_0A,NCS1-x0356,O=S(=O)(C1CCCNC1)N2CCOCC2,,Z300081412,Tyr52 Site5,
66,NCS1-x0356_0B,NCS1-x0356,O=S(=O)(C1CCCNC1)N2CCOCC2,,Z300081412,Tyr52 Site5,
67,NCS1-x0385_0A,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Upper Tyr52-Thr92 Site2,
68,NCS1-x0385_0B,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Upper Tyr52-Thr92 Site2,
69,NCS1-x0385_1A,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Helix H2 Site1,
70,NCS1-x0385_1B,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Arg148 closed Site7,
71,NCS1-x0385_2B,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Trp103 Site4,
72,NCS1-x0385_3B,NCS1-x0385,CCN(CC)C(=O)c1ccccc1C,,Z31723394,Trp103 Site4,
73,NCS1-x0390_0B,NCS1-x0390,CN(C)C(=O)c1cccc(C)c1C,,Z32014663,Arg148 closed Site7,
74,NCS1-x0393_0A,NCS1-x0393,O=C(C1CC1)N2CCN(CC2)C(=O)c3ccco3,,Z32327641,Tyr52 Site5,
75,NCS1-x0393_0B,NCS1-x0393,O=C(C1CC1)N2CCN(CC2)C(=O)c3ccco3,,Z32327641,Tyr108 Site6,
76,NCS1-x0393_1B,NCS1-x0393,O=C(C1CC1)N2CCN(CC2)C(=O)c3ccco3,,Z32327641,Tyr52 Site5,
77,NCS1-x0394_0B,NCS1-x0394,O=C(NC1CC1)c2ccc3OCOc3c2,,Z32367954,Middle Tyr52-Thr92 Site3,
78,NCS1-x0409_0A,NCS1-x0409,CNS(=O)(=O)Cc1cc(C)on1,,Z352296220,Helix H2 Site1,
79,NCS1-x0409_0B,NCS1-x0409,CNS(=O)(=O)Cc1cc(C)on1,,Z352296220,Middle Tyr52-Thr92 Site3,
80,NCS1-x0412_0A,NCS1-x0412,CCC1CN(CCO1)S(=O)(=O)N(C)C,,Z355202286,Trp103 Site4,
81,NCS1-x0412_0B,NCS1-x0412,CCC1CN(CCO1)S(=O)(=O)N(C)C,,Z355202286,Helix H2 Site1,
82,NCS1-x0412_1A,NCS1-x0412,CCC1CN(CCO1)S(=O)(=O)N(C)C,,Z355202286,Helix H2 Site1,
83,NCS1-x0412_2A,NCS1-x0412,CCC1CN(CCO1)S(=O)(=O)N(C)C,,Z355202286,Tyr108 Site6,
84,NCS1-x0469_0B,NCS1-x0469,CNS(=O)(=O)c1ccccc1Cl,,Z45527714,Arg148 closed Site7,
85,NCS1-x0485_0A,NCS1-x0485,Cc1ccccc1OCC(=O)Nc2ncccn2,,Z53834613,Helix H2 Site1,
86,NCS1-x0488_0B,NCS1-x0488,Fc1cccc(F)c1C(=O)N2CCCC2,,Z54226006,Arg148 closed Site7,
87,NCS1-x0500_0A,NCS1-x0500,Oc1cccc(NC(=O)Nc2ccc(F)cc2)c1,,Z55290386,Middle Tyr52-Thr92 Site3,
88,NCS1-x0500_0B,NCS1-x0500,Oc1cccc(NC(=O)Nc2ccc(F)cc2)c1,,Z55290386,Middle Tyr52-Thr92 Site3,
89,NCS1-x0500_1A,NCS1-x0500,Oc1cccc(NC(=O)Nc2ccc(F)cc2)c1,,Z55290386,Trp103 Site4,
90,NCS1-x0503_0B,NCS1-x0503,Cn1ccc(NCc2ccccc2)n1,,Z558511008,Arg148 open Site8,
91,NCS1-x0503_1B,NCS1-x0503,Cn1ccc(NCc2ccccc2)n1,,Z558511008,Beyond Arg148 Site9,
92,NCS1-x0503_2B,NCS1-x0503,Cn1ccc(NCc2ccccc2)n1,,Z558511008,Trp103 Site4,
93,NCS1-x0503_3B,NCS1-x0503,Cn1ccc(NCc2ccccc2)n1,,Z558511008,Tyr52 Site5,
94,NCS1-x0562_0B,NCS1-x0562,Fc1cccc(CN2CCCS2(=O)=O)c1,,Z729352906,Beyond Arg148 Site9,
95,NCS1-x0562_1B,NCS1-x0562,Fc1cccc(CN2CCCS2(=O)=O)c1,,Z729352906,Arg148 open Site8,
96,NCS1-x0562_2B,NCS1-x0562,Fc1cccc(CN2CCCS2(=O)=O)c1,,Z729352906,Trp103 Site4,
97,NCS1-x0566_0B,NCS1-x0566,CC(C)C(=O)NC(C)c1sc(C)nc1C,,Z740611958,Tyr108 Site6,
98,NCS1-x0566_1B,NCS1-x0566,CC(C)C(=O)NC(C)c1sc(C)nc1C,,Z740611958,Beyond Arg148 Site9,
99,NCS1-x0572_0B,NCS1-x0572,CC(=O)N1CCOc2ccccc2C1,,Z758198920,Trp103 Site4,
100,NCS1-x0573_0B,NCS1-x0573,Nc1ccc(cc1)c2ncno2,,Z760031264,Upper Tyr52-Thr92 Site2,
101,NCS1-x0573_1B,NCS1-x0573,Nc1ccc(cc1)c2ncno2,,Z760031264,Trp103 Site4,
102,NCS1-x0580_0A,NCS1-x0580,Fc1ccc(NC2CCOCC2)nc1,,Z802824098,Middle Tyr52-Thr92 Site3,
103,NCS1-x0580_1A,NCS1-x0580,Fc1ccc(NC2CCOCC2)nc1,,Z802824098,Middle Tyr52-Thr92 Site3,
104,NCS1-x0581_0A,NCS1-x0581,C1Oc2ccc(cc2O1)c3cc[nH]n3,,Z815437698,Trp103 Site4,
105,NCS1-x0581_0B,NCS1-x0581,C1Oc2ccc(cc2O1)c3cc[nH]n3,,Z815437698,Trp103 Site4,
106,NCS1-x0592_0B,NCS1-x0592,CC(C)c1ccc(cc1)C(=O)Nc2nncs2,,Z86416893,Helix H2 Site1,
107,NCS1-x0603_0A,NCS1-x0603,CCOC(=O)c1cn[nH]c1,,Z975817026,Trp103 Site4,
108,NCS1-x0603_0B,NCS1-x0603,CCOC(=O)c1cn[nH]c1,,Z975817026,Trp103 Site4,
109,NCS1-x0653_0A,NCS1-x0653,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,,POB0008,Helix H2 Site1,
110,NCS1-x0653_0B,NCS1-x0653,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,,POB0008,Upper Tyr52-Thr92 Site2,
111,NCS1-x0653_1A,NCS1-x0653,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,,POB0008,Upper Tyr52-Thr92 Site2,
112,NCS1-x0653_2A,NCS1-x0653,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,,POB0008,Tyr52 Site5,
113,NCS1-x0667_0A,NCS1-x0667,CN(N=C1)C=C1[C@H]2[C@@H](C(OC)=O)CCC2,,POB0123,Helix H2 Site1,
114,NCS1-x0715_0A,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,NCS1 loop Site10,
115,NCS1-x0715_0B,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,Trp103 Site4,
116,NCS1-x0715_1B,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,NCS1 loop Site10,
117,NCS1-x0729_0B,NCS1-x0729,OC1CS(=O)(=O)C1,,Z3241250482,Trp103 Site4,
118,NCS1-x0759_0B,NCS1-x0759,OCC1CCCN1,,Z1333717631,Upper Tyr52-Thr92 Site2,
119,NCS1-x0780_0A,NCS1-x0780,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C,,FDA2,Tyr108 Site6,
120,NCS1-x0780_0B,NCS1-x0780,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C,,FDA2,Tyr108 Site6,
121,NCS1-x0827_0A,NCS1-x0827,OC[C@H]1N(S(C)(=O)=O)[C@@H](C)CCC1,,POB0029,Trp103 Site4,
122,NCS1-x0827_0B,NCS1-x0827,OC[C@H]1N(S(C)(=O)=O)[C@@H](C)CCC1,,POB0029,Trp103 Site4,
123,NCS1-x0914_0B,NCS1-x0914,CC1(C(N)=O)CCCN1C(OC(C)(C)C)=O,,POB0063,Tyr52 Site5,
124,NCS1-x0916_0A,NCS1-x0916,O=S(C12N(C(C)=O)CCC1C2)(C3=CC=CC=C3)=O,,POB0101,Helix H2 Site1,
125,NCS1-x0916_0B,NCS1-x0916,O=S(C12N(C(C)=O)CCC1C2)(C3=CC=CC=C3)=O,,POB0101,Helix H2 Site1,
126,NCS1-x0929_0A,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Upper Tyr52-Thr92 Site2,
127,NCS1-x0929_0B,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Upper Tyr52-Thr92 Site2,
128,NCS1-x0929_1A,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Helix H2 Site1,
